begin,end,origin
2013/11/27 00:00,2013/11/29 00:00,Lepping
1998/06/26 07:48:00,1998/06/26 19:39:00,Chi
1997/10/27 10:34:30,1997/10/28 04:57:00,Chi
1998/11/30 10:07:30,1998/11/30 18:20:15,Chi
1999/02/19 23:48:45,1999/02/20 18:33:45,Chi
1999/03/19 13:16:30,1999/03/20 06:09:00,Chi
1999/05/16 09:13:30,1999/05/18 00:18:45,Chi
1999/07/05 20:39:45,1999/07/06 15:37:52,Chi
1999/09/15 08:57:30,1999/09/15 16:20:59,Chi
1999/11/12 19:00:00,1999/11/13 20:26:15,Chi
1999/12/26 08:33:25,1999/12/26 22:39:30,Chi
1999/12/27 19:07:30,1999/12/28 02:00:00,Chi
2000/02/11 16:17:37,2000/02/11 23:00:07,Chi
2000/03/19 17:49:01,2000/03/20 06:07:58,Chi
2000/04/18 20:33:00,2000/04/19 02:19:30,Chi
2000/04/19 05:24:00,2000/04/19 12:00:00,Chi
2000/04/24 04:25:30,2000/04/24 13:39:00,Chi
2000/05/13 17:14:37,2000/05/14 11:48:05,Chi
2000/06/11 09:22:30,2000/06/11 17:28:30,Chi
2000/06/18 12:40:30,2000/06/18 18:20:15,Chi
2000/07/11 03:09:00,2000/07/11 13:00:45,Chi
2000/07/27 09:04:30,2000/07/27 20:53:15,Chi
2000/11/28 22:27:45,2000/11/29 20:57:45,Chi
2001/03/04 05:56:57,2001/03/04 13:00:45,Chi
2001/04/01 05:26:48,2001/04/02 19:50:15,Chi
2001/05/03 12:00:00,2001/05/04 09:04:30,Chi
2001/05/07 22:16:30,2001/05/08 10:30:00,Chi
2001/08/15 19:25:30,2001/08/16 14:37:30,Chi
2001/09/01 04:00:45,2001/09/01 15:58:30,Chi
2001/09/25 07:49:07,2001/09/25 19:55:41,Chi
2001/10/04 21:58:30,2001/10/05 09:13:30,Chi
2001/10/29 22:12:00,2001/10/31 14:05:59,Chi
2001/11/05 20:19:30,2001/11/06 05:26:15,Chi
2001/12/13 05:24:00,2001/12/14 10:03:00,Chi
2002/03/22 13:50:15,2002/03/23 11:27:00,Chi
2002/03/23 17:53:15,2002/03/24 03:00:00,Chi
2002/04/12 01:39:00,2002/04/13 15:20:15,Chi
2002/07/31 17:33:00,2002/08/01 05:27:00,Chi
2002/09/08 04:12:00,2002/09/08 19:43:30,Chi
2002/09/19 21:07:01,2002/09/20 21:39:39,Chi
2002/11/08 08:37:30,2002/11/09 17:21:28,Chi
2003/02/01 18:49:30,2003/02/02 13:07:30,Chi
2003/05/29 13:00:45,2003/05/29 18:04:30,Chi
2003/05/30 22:25:30,2003/05/31 20:01:30,Chi
2003/06/17 19:03:00,2003/06/18 09:04:30,Chi
2003/07/23 14:33:00,2003/07/24 14:28:30,Chi
2003/08/18 00:24:45,2003/08/19 04:34:30,Chi
2004/01/24 08:54:22,2004/01/24 23:38:54,Chi
2004/04/27 04:48:00,2004/04/28 13:15:00,Chi
2004/08/01 15:49:30,2004/08/02 08:37:30,Chi
2005/08/08 23:33:00,2005/08/09 11:33:00,Chi
2005/08/24 17:55:30,2005/08/25 12:45:00,Chi
2005/09/15 15:56:15,2005/09/16 17:37:30,Chi
2005/09/21 01:01:52,2005/09/21 17:10:29,Chi
2006/06/17 21:40:30,2006/06/18 07:39:00,Chi
2006/11/01 22:12:00,2006/11/02 14:24:00,Chi
2007/09/19 17:36:05,2007/09/20 03:54:50,Chi
2008/04/15 12:40:30,2008/04/16 00:04:30,Chi
2008/07/25 13:17:20,2008/07/25 23:12:28,Chi
2009/10/16 22:30:00,2009/10/17 08:18:00,Chi
2009/10/17 20:37:30,2009/10/18 15:28:30,Chi
2010/04/09 19:07:30,2010/04/10 10:25:30,Chi
2010/04/30 06:09:00,2010/05/01 07:12:00,Chi
2011/10/22 21:33:45,2011/10/23 14:55:29,Chi
2011/10/28 23:45:28,2011/10/29 13:12:51,Chi
2011/11/07 16:38:26,2011/11/07 22:38:26,Chi
2011/11/29 01:50:15,2011/11/29 07:43:30,Chi
2012/03/06 06:30:00,2012/03/06 13:26:15,Chi
2012/07/05 01:14:15,2012/07/05 10:11:59,Chi
2012/08/16 21:49:30,2012/08/18 03:38:15,Chi
2012/09/06 18:27:00,2012/09/06 23:06:00,Chi
2012/12/14 07:34:30,2012/12/14 17:35:15,Chi
2013/02/14 17:40:46,2013/02/16 11:35:15,Chi
2014/01/30 15:22:30,2014/02/01 07:30:00,Chi
2014/02/12 09:20:21,2014/02/13 10:13:07,Chi
2014/02/13 13:42:45,2014/02/14 04:44:37,Chi
2014/12/24 11:54:17,2014/12/26 15:54:17,Chi
2015/01/02 14:34:17,2015/01/02 20:25:42,Chi
2015/01/03 17:17:08,2015/01/04 06:34:17,Chi
2015/01/11 10:54:06,2015/01/11 19:23:50,Chi
2015/03/21 20:18:12,2015/03/22 02:06:25,Chi
2015/04/30 05:33:00,2015/05/01 12:36:00,Chi
2015/05/07 21:42:51,2015/05/08 03:00:00,Chi
2015/05/18 22:36:25,2015/05/19 01:55:42,Chi
2015/05/20 17:00:00,2015/05/21 06:17:08,Chi
2015/06/17 05:17:08,2015/06/18 00:08:34,Chi
2015/06/21 21:32:08,2015/06/22 05:08:34,Chi
2015/06/25 09:00:00,2015/06/26 06:25:42,Chi
2015/08/15 20:42:51,2015/08/16 06:51:25,Chi
2015/08/21 22:36:25,2015/08/22 13:55:42,Chi
2015/08/27 09:00:00,2015/08/28 17:17:08,Chi
2015/09/17 08:55:10,2015/09/17 19:44:43,Chi
1999/08/01 04:14:15,1999/08/02 04:12:00,Chi
1999/08/21 15:18:00,1999/08/23 14:06:00,Chi
2007/03/24 03:06:00,2007/03/25 03:00,Lepping
1998/01/09 09:17,1998/01/09 20:38,Chinchilla
1998/10/02 15:10,1998/10/02 23:05,Chinchilla
2001/06/27 04:40,2001/06/29 04:00,Chinchilla
2008/05/23 00:12,2008/05/23 12:47,Chinchilla
2009/04/22 14:19,2009/04/22 20:45,Chinchilla
2004/12/05 08:45,2004/12/05 18:15,Turc
2010/12/28 04:10,2010/12/28 16:55,Turc
2014/02/27 22:00,2014/02/28 16:35,Turc
1997/11/24 00:00,1997/11/24 21:00,RC
1998/01/20 18:00,1998/01/21 03:00,RC
1998/08/05 13:00,1998/08/06 12:00,RC
1998/08/12 01:00,1998/08/14 04:00,RC
1998/11/30 23:00,1998/12/01 04:00,RC
1998/12/29 18:00,1998/12/30 18:00,RC
1999/02/13 19:00,1999/02/14 15:00,RC
1999/02/17 00:00,1999/02/17 11:00,RC
1999/04/21 04:00,1999/04/21 12:00,RC
1999/07/31 02:00,1999/08/01 00:00,RC
1999/08/12 19:00,1999/08/13 07:00,RC
2000/03/19 02:00,2000/03/19 10:00,RC
2000/05/15 19:00,2000/05/16 05:00,RC
2000/05/16 09:00,2000/05/16 14:00,RC
2000/06/04 22:00,2000/06/05 06:00,RC
2000/06/13 13:00,2000/06/13 18:00,RC
2000/06/13 22:00,2000/06/14 01:00,RC
2001/03/28 18:00,2001/03/28 23:00,RC
2001/04/15 19:00,2001/04/16 01:00,RC
2001/07/13 20:00,2001/07/14 01:00,RC
2001/11/20 09:00,2001/11/21 17:00,RC
2001/12/27 19:00,2001/12/29 04:00,RC
2002/09/07 10:00,2002/09/07 16:00,RC
2005/06/16 23:00,2005/06/17 17:00,RC
2005/08/24 08:00,2005/08/24 11:00,RC
2006/12/15 17:00,2006/12/16 17:00,RC
2009/01/19 02:00,2009/01/19 05:00,RC
2010/02/22 13:00,2010/02/22 22:00,RC
2011/09/16 19:00,2011/09/17 03:00,RC
2014/04/20 01:00,2014/04/20 10:00,RC
2014/09/17 02:00,2014/09/18 20:00,RC
2015/03/16 13:00,2015/03/16 22:00,RC
1998/10/03 14:54:00,1998/10/04 09:00:00,LJ
1999/06/26 02:47:00,1999/06/26 19:00,LJ
1999/08/03 21:17:00,1999/08/04 08:00:00,LJ
2001/03/27 05:02:00,2001/03/27 10:09:00,LJ
2001/04/07 19:00:00,2001/04/08 06:51:00,LJ
2001/11/15 21:00:00,2001/11/16 10:30:00,LJ
2003/11/04 11:00:00,2003/11/04 16:00:00,LJ
